Dhid,East,North,Elev,TD,Exp_Line,Year
937,10169.712,68238.902,829.980,87.300,3_n,1958-1961
938,10387.670,68431.330,830.620,61.400,2_n,1958-1961
939,9408.072,68161.817,829.830,86.000,6_n,1958-1961
941,5196.626,66279.010,820.310,111.500,26_s,1958-1961
942,3793.501,67133.248,802.290,128.800,28_n,1958-1961
943,2585.708,65548.838,804.940,120.700,33_n,1958-1961
944,4238.807,66238.887,818.970,147.200,28_s,1958-1961
945,1989.513,66021.899,793.010,142.500,34_n,1958-1961
946,2460.099,65823.511,800.220,129.600,33_n,1958-1961
947,9655.309,68254.459,827.740,86.500,5_n,1958-1961
948,4018.547,66687.719,811.560,177.100,28_n,1958-1961
949,3113.921,66110.564,803.980,158.000,31_s,1958-1961
950,10702.668,68320.945,833.690,62.800,1_n,1958-1961
951,9730.650,68070.531,836.200,117.800,5_n,1958-1961
952,8045.165,67296.319,840.740,63.400,12_s,1958-1961
953,9373.401,67696.228,868.340,129.500,7_s,1958-1961
954,8319.705,67290.137,844.750,64.000,11_s,1958-1961
954d,8313.05,67296.50,844.77,63.5,11_s,1977
955,9573.411,67795.835,863.130,133.400,6_s,1958-1961
956,7495.81,67140.13,845.780,42.600,15_s,1958-1961
956d,7491.63,67139.24,845.70,45.20,15_s,1977
957,9433.367,67614.457,884.070,117.400,7_s,1958-1961
958,7247.437,67096.598,847.950,60.000,17_s,1958-1961
959,9619.397,67697.078,881.000,128.000,6_s,1958-1961
960,9582.161,68441.356,825.440,39.100,5_n,1958-1961
961,3629.534,67441.064,797.570,42.400,28_n,1958-1961
962,2971.549,66486.184,798.360,165.500,31_n,1958-1961
963,4282.651,67034.509,808.470,174.000,27_n,1958-1961
964,4116.289,67343.459,802.820,99.600,27_n,1958-1961
965,2847.475,66813.831,795.070,143.200,31_n,1958-1961
966,4449.461,66726.862,814.730,164.300,27_n,1958-1961
967,2724.970,67141.377,791.780,70.500,31_n,1958-1961
968,9491.292,67981.815,841.560,125.000,6_n,1958-1961
969,4617.204,66418.783,822.390,143.400,27_s,1958-1961
970,8371.948,68052.928,824.500,134.600,10_n,1958-1961
971,8113.929,68027.084,822.530,145.000,11_n,1958-1961
972,7797.819,68083.335,817.740,116.500,13_n,1958-1961
973,7605.229,68139.399,815.440,100.700,14_n,1958-1961
974,7166.837,67777.639,818.250,122.500,16_n,1958-1961
975,7182.233,67339.949,835.780,60.000,17_s,1958-1961
976,7047.898,68153.239,811.400,126.000,17_n,1958-1961
976d,7047.26,68158.340,811.46,61.60,17_n,1977
977,6638.453,68238.206,808.560,97.200,18_n,1958-1961
978,3637.896,66575.801,806.460,176.000,29_n,1958-1961
979,5918.324,68196.460,803.980,100.500,20_n,1958-1961
979a,5923.29,68182.22,803.49,67.00,20_n,1977
980,7337.216,68444.729,811.740,65.100,15_n,1958-1961
981,3008.492,67174.412,794.630,85.800,30_n,1958-1961
982,3178.350,66769.213,798.250,156.400,30_n,1958-1961
985,9615.980,67362.940,954.400,142.500,7_s,1958-1961
986,2655.237,67327.976,790.810,73.000,31_n,1958-1961
987,3933.174,65954.967,815.010,108.600,29_s,1958-1961
988,3784.553,66263.148,809.710,159.000,29_s,1958-1961
989,3351.288,67212.925,798.100,79.700,29_n,1958-1961
990,3494.632,66894.398,801.730,139.600,29_n,1958-1961
991,3365.665,66322.255,803.970,165.000,30_n,1958-1961
993,6355.316,68049.139,807.370,137.200,19_n,1958-1961
994,6586.725,67410.362,828.640,132.000,19_s,1958-1961
995,5816.474,67841.667,809.560,180.800,21_n,1958-1961
996,2338.787,66119.327,796.170,154.000,33_n,1958-1961
997,6718.976,67139.315,842.730,76.300,19_s,1958-1961
998,4087.424,65636.066,821.680,67.100,29_s,1958-1961
999,4461.851,65789.675,825.260,60.000,28_s,1958-1961
DH_1,10569.654,68523.072,831,50,,
DH_2,10626.614,68306.909,833,50,,
DH_3,10685.422,68105.021,835.3,50,,
DH_938-1,10372.507,68492.839,830.28,55,,
DH_938-2,10351.313,68578.815,828.85,55,,
DH_2192-1,10518.678,68031.683,834.6,55,,
DH_2192-2,10527.379,68008.924,835.05,55,,
DH_2192-3,10532.826,67994.75,835.19,55,,
DH_929-1,10557.066,67934.006,836.680,90,,
DH_929-2,10563.726,67914.181,837.260,80,,
DH_929-3,10574.146,67883.163,838.310,70,,
DH_929-4,10576.435,67876.347,838.380,70,,
DH_877-1,10069.376,68492.386,826.920,65,,
DH_877-2,10062.43,68519.08,826.20,60,,
DH_877-3,10029.69,68612.051,824.31,50,,
DH_1074-1,10296.593,67905.824,840.75,85,,
DH_1074-2,10311.970,67865.788,843.200,75,,
DH_1074-3,10324.505,67834.216,845.400,60,,
DH_1074-4,10338.870,67798.033,847.830,35,,
DH_1081-1,9963.032,68468.398,827.200,65,,
DH_1081-2,9955.27,68496.98,826.58,60,,
DH_1081-3,9928.651,68582.316,825.81,50,,
DH_2189-1,10199.049,67807.920,850.810,60,,
DH_1077-1,9845.418,68415.601,827.750,70,,
DH_1077-2,9840.56,68432.05,827.81,65,,
DH_1077-3,9813.442,68503.39,826.21,50,,
